index,name,min_age,max_age,region,edu,edu_limit,job
0,국민취업지원제도,15,69,전국,제한없음,제한없음,미취업자
1,청년추가고용장려금 지원사업,15,34,전국,제한없음,고교 재학,재직자
1,청년추가고용장려금 지원사업,15,34,전국,제한없음,대학 재학,재직자
1,청년추가고용장려금 지원사업,15,34,전국,제한없음,대학원 재학,재직자
3,국민내일배움카드,0,75,전국,제한없음,제한없음,제한없음
4,청년내일채움공제,15,34,전국,제한없음,제한없음,재직자
5,청년고용지원,0,100,전국,제한없음,제한없음,제한없음
7,중소기업 취업하는 청년에 대한 소득세 감면,15,34,전국,제한없음,제한없음,재직자
8,청년 디지털 일자리 사업,15,34,전국,제한없음,고교 재학,미취업자
8,청년 디지털 일자리 사업,15,34,전국,제한없음,대학 재학,미취업자
9,청년재직자 내일채움공제,15,34,전국,제한없음,제한없음,재직자
10,청년취업 드림카드,18,39,전라북도,제한없음,제한없음,미취업자
11,청년 3·6·9 일자리지원 프로젝트 (지역주도형 청년일자리사업),0,39,대구광역시,제한없음,제한없음,미취업자
12,청년 맞춤형 지원사업,19,34,전국,제한없음,제한없음,미취업자
13,서울형 뉴딜 일자리,18,100,서울특별시,고졸,제한없음,제한없음
13,서울형 뉴딜 일자리,18,100,서울특별시,대졸,제한없음,제한없음
14,청년애꿈수당,19,39,경상북도,제한없음,제한없음,재직자
15,"지역인재 추천채용제도 (7, 9급)",0,100,전국,고졸,제한없음,미취업자
15,"지역인재 추천채용제도 (7, 9급)",0,100,전국,고교 졸업예정,제한없음,미취업자
16,청년취업아카데미,0,34,전국,대학 졸업예정,제한없음,미취업자
16,청년취업아카데미,0,34,전국,대학원 졸업예정,제한없음,미취업자
17,해운대자활센터 청년커피사업단,18,39,부산광역시,제한없음,제한없음,미취업자
18,대구형 청년내일채움공제 사업,15,39,대구광역시,제한없음,제한없음,재직자
19,인천 재직청년 드림포인트,18,39,인천광역시,제한없음,제한없음,재직자
20,청년 취업역량 프로그램,0,34,전국,제한없음,제한없음,미취업자
21,내일채움공제,0,100,전국,제한없음,제한없음,재직자
22,청년 내일(My job and Tomorrow) 학교,19,34,대구광역시,대학 졸업예정,제한없음,미취업자
22,청년 내일(My job and Tomorrow) 학교,19,34,대구광역시,대졸,제한없음,미취업자
23,중소기업 청년 노동자 지원사업 (구. 청년 마이스터 통장),18,34,경기도,제한없음,제한없음,재직자
24,경남 청년내일채움공제 지원사업,18,34,경상남도,제한없음,제한없음,재직자
25,부산시 지역주도형 청년일자리 사업(부산 비즈니스서비스기업 청년일자리 지원사업),18,39,부산광역시,제한없음,제한없음,미취업자
26,대학일자리센터,15,34,전국,제한없음,제한없음,미취업자
27,일학습병행제,0,100,전국,제한없음,제한없음,재직자
28,서울시 취업날개서비스 운영,15,39,서울특별시,제한없음,제한없음,제한없음
29,행복내일 취업지원프로그램,0,100,전국,제한없음,제한없음,미취업자
30,해외취업정착지원금,0,34,전국,제한없음,제한없음,재직자
31,온라인청년센터,15,39,전국,제한없음,제한없음,제한없음
32,대학생 아르바이트 운영,19,39,대전광역시,대학 재학,제한없음,제한없음
33,광주일자리종합지원센터 취업지원,0,100,광주광역시,제한없음,제한없음,제한없음
34,대학생 취업패키지 지원사업(희망옷장),18,35,대구광역시,고교 졸업예정,제한없음,미취업자
34,대학생 취업패키지 지원사업(희망옷장),18,35,대구광역시,대학 재학,제한없음,미취업자
34,대학생 취업패키지 지원사업(희망옷장),18,35,대구광역시,대학 졸업예정,제한없음,미취업자
34,대학생 취업패키지 지원사업(희망옷장),18,35,대구광역시,대졸,제한없음,미취업자
35,일자리창출촉진자금,0,100,전국,제한없음,제한없음,제한없음
36,새로운 경기도,18,99,경기도,제한없음,대학생,미취업자
36,새로운 경기도,18,99,경기도,제한없음,대학원생,미취업자
37,랜선으로 즐기는 슬기로운 청년생활,0,39,부산광역시,제한없음,제한없음,제한없음
38,참 괜찮은 중소기업 플랫폼,0,100,전국,제한없음,제한없음,제한없음
39,NEW START 청년일자리사업,18,39,대구광역시,제한없음,제한없음,미취업자
40,울산청년 행복지원사업,19,39,울산광역시,제한없음,제한없음,재직자
41,수원청년 내일로 사업,18,39,경기도,제한없음,제한없음,미취업자
42,산업단지 중소기업 청년 교통비 지원(청년동행카드),15,34,전국,제한없음,제한없음,재직자
43,청년예술지원사업 운영,0,100,서울특별시,제한없음,제한없음,제한없음
44,공공빅데이터 청년인턴십 사업,0,100,전국,제한없음,제한없음,미취업자
45,울산청년 버팀목 프로젝트,19,34,울산광역시,제한없음,제한없음,미취업자
46,청년여성 멘토링,0,100,전국,제한없음,제한없음,제한없음
47,부산청춘드림카 지원사업,21,39,부산광역시,제한없음,제한없음,미취업자
47,부산청춘드림카 지원사업,21,39,부산광역시,제한없음,제한없음,재직자
48,인천 청년 면접지원(드림나래) 서비스,18,39,인천광역시,제한없음,제한없음,미취업자
49,토닥토닥 청년일자리(job)카페 운영,18,39,광주광역시,제한없음,제한없음,제한없음
51,청년의 성공적인 취업을 위한 자신감 UP 캠프사업,19,39,서울특별시,제한없음,제한없음,미취업자
52,중소기업 청년일자리 지원사업,19,39,인천광역시,제한없음,제한없음,미취업자
53,(충남) 지역주도형 청년일자리 사업,18,39,충청남도,제한없음,제한없음,미취업자
54,청년인턴사업,19,34,경기도,제한없음,대학 재학,미취업자
55,NCS기반 능력중심 채용 및 공공/민간 블라인드 채용,0,100,전국,제한없음,제한없음,제한없음
56,오프라인 청년센터,15,39,전국,제한없음,제한없음,제한없음
57,청년친화강소기업,0,100,전국,제한없음,제한없음,제한없음
58,청년도전 지원사업,18,34,전국,제한없음,제한없음,미취업자
59,Hi(고졸청년취업지원)프로그램,15,34,전국,고교 졸업예정,제한없음,미취업자
59,Hi(고졸청년취업지원)프로그램,15,34,전국,고졸,제한없음,미취업자
60,서울시 일자리카페 운영,15,39,서울특별시,제한없음,제한없음,제한없음
61,2021년 부산시 공공근로사업,18,39,부산광역시,제한없음,제한없음,제한없음
62,청년고용지원사업,15,34,경상남도,고졸,제한없음,재직자
62,청년고용지원사업,15,34,경상남도,대학 졸업예정,제한없음,재직자
64,양천구 청년취업 프로그램 운영,15,34,서울특별시,고교 재학,제한없음,제한없음
65,부산시 지역주도형 청년일자리사업(마을기업),18,39,부산광역시,제한없음,제한없음,제한없음
66,청년취업 희망프로젝트,15,39,제주도,제한없음,제한없음,미취업자
67,청년 체인지업 프로젝트,18,34,전국,제한없음,제한없음,미취업자
68,청년 채용박람회 개최,0,100,경기도,제한없음,제한없음,미취업자
69,데이터 청년 캠퍼스(빅데이터 청년인재 양성 및 일자리 연계),0,100,전국,대학 졸업예정,제한없음,미취업자
69,데이터 청년 캠퍼스(빅데이터 청년인재 양성 및 일자리 연계),0,100,전국,대졸,제한없음,미취업자
70,고용친화기업 청년채용 지원사업,18,39,대구광역시,제한없음,제한없음,미취업자
71,전북형 청년내일채움공제 지원,15,34,전라북도,제한없음,제한없음,제한없음
72,지역상생 청년일자리사업,19,39,경상남도,제한없음,제한없음,미취업자
73,청년내일카드,18,39,충청남도,제한없음,제한없음,재직자
74,청년 활력 프로젝트,19,39,광주광역시,제한없음,제한없음,제한없음
75,대전일자리지원센터 운영,15,39,대전광역시,고교 재학,제한없음,미취업자
76,취업능력향상(행복오름) 프로그램 I,0,100,전국,제한없음,제한없음,미취업자
