index,name,description,content,URL
0,국민취업지원제도,한국형 실업부조로 고용안전망 사각지대에 있는 취업취약계층에게 취업지원서비스 및 생활안정을 지원하는 정책,"1. 취업취약계층에 취업지원
- 취업지원서비스를 종합적으로 제공하고, 저소득 구직자에게는 최소한의 소득도 지원
- 자격요건에 부합하는 경우 고용복지+센터에서 관련 서비스와 수당 지원 가능
2.저소득층 소득지원 강화
- 구직자 취업촉진 및 생활안정지원에 관한 법률을 기반으로 저소득 구직자 등 Ⅰ유형 대상자에게 구직촉진수당(50만원*6개월)을 지급하여 저소득층 생계안정 지원
3.취업지원서비스 내실화
- 직업훈련에 집중된 기존의 취업지원서비스의 문제를 보완, 일경험 프로그램 및 고용/복지서비스 연계 강화를 통해 취업장애요인별 맞춤형 취업지원서비스 제공
4.구직활동 이행 확보
- 취업활동계획수립을 통해 구체적인 구직활동의무를 부여하고, 이행을 위한 모니터링 진행
- 구직활동의무를 성실히 이행한 경우에만 구직촉진수당을 지급하고, 의무 불이행시 수당지급을 제한하는 제도적 장치 마련
5.기존 취업지원서비스 통합 운영
- 국민취업지원제도는 기존의 취업성공패키지와 청년구직활동지원금을 통합하여 취업취약계층에 대한 종합적 취업지원제도로서 운영",https://www.youthcenter.go.kr/youngPlcyUnif/youngPlcyUnifList.do
1,청년추가고용장려금 지원사업,"청년을 정규직으로 추가로 고용한 중소?중견기업에 인건비를 지원함으로써, 양질의 청년 일자리 창출을 장려하는 사업","1. 청년 추가채용 1명당 연 최대 900만원을 3년간 지원2. 고용위기 지역 지정 고시(고용노동부 고시 제2020-72호, 73호)에 따른 지역의 기업에 대해서는 1인당 연 최대 1,400만원 지원",https://www.youthcenter.go.kr/youngPlcyUnif/youngPlcyUnifList.do
3,국민내일배움카드,"국민 누구나 일자리에 도움이 되는 훈련을 받을 수 있는 평생능력개발 기반 마련을 위한 정책

급격한 기술발전에 적응하고 노동시장 변화에 대응하는 사회안정망 차원에서 생애에 걸친 역량개발 향상 등을 위해 국민 스스로 직업능력개발훈련을 실시할 수 있도록 훈련비 등 지원","1. 국민 누구나 국민내일배움카드 신청 가능
- 분리 운영되었던 실업자/재직자 내일배움카드를 하나로 통합
- 재직, 휴직, 실업 등 경제 활동 상태에 따라 카드를 바꾸는 불편 없이 하나의 카드로 계속 이용 가능
2. 실업, 재직, 자영업 여부에 관계 없이 국민내일배움카드 한장으로 5년간 사용 가능
3. 1인당 300~500만원의 훈련비용 지원 (훈련비의 45~85프로 지원)
* 취업성공패키지 1 참여자 등 저소득계층에게는 500만원 지원(훈련비의 100프로 또는 80프로 지원)
* 근로장려금(EITC)수급자는 72.5~92.5프로 지원 등
* 국가기간전략산업직종, 과정평가형 자격과정 등 특화과정은 훈련비 전액 지원
* 훈련생은 직업훈련포털(HRD-Net)을 통해 훈련 계좌 잔액, 수강 과정명, 유효기간 등을 실시간으로 확인 가능",https://www.youthcenter.go.kr/youngPlcyUnif/youngPlcyUnifList.do
4,청년내일채움공제,"중소·중견기업 청년 근로자의 장기근속과 자산형성을 지원하기 위해 청년, 기업, 정부가 공동으로 공제금을 적립하고 2년 근속 후 만기공제금을 지급","1. 청년 지원내용
 - 청년 본인이 2년간 300만원(매월 12만 5천원)을 적립하면 정부(취업지원금 600만원)와 기업(300만원, 정부지원)이 공동 적립
   → 2년 후 만기공제금 1,200만원+α
 - 최소 2년간 (동일)사업장에서 근무하면서 실질적 경력 형성의 기회
 - 만기 후 중소벤처기업부의 내일채움공제(3~5년)로 연장가입 시 최대 8년의 장기적인 목돈마련 가능

2. 기업 지원내용
 - 2년간 채용유지지원금 300만원 지원
 - 인재육성형 전용자금 지원 대상으로 편입 등 중소벤처기업부 사업 참여 시 혜택
 - 잦은 이직으로 인해 인력난이 심각한 중소기업은 우수인력 고용유지 가능",https://www.youthcenter.go.kr/youngPlcyUnif/youngPlcyUnifList.do
5,청년고용지원,청년고용정책 지원,"1. 지원내용 청년고용정책 심층 모니터링, 대학일자리센터 컨설팅 및 운영지원, 청년고용정책참여단 기수별 운영, 청년 사회생활 실태조사, 청년고용인식 및 정책 인식 조사를 통한 분석 및 제언, 대학 진로취업 관련 콘텐츠 개발 보급2. 전달체계 : 한국고용정보원",https://www.youthcenter.go.kr/youngPlcyUnif/youngPlcyUnifList.do
7,중소기업 취업하는 청년에 대한 소득세 감면,"청년 등이 일정요건을 충족하는 중소기업에 취업하는 경우, 취업일로부터 3년(5년)이 되는 날 속하는 달의 말일까지 발생한 소득에 대한 소득세의 일정율을 감면","- 청년: 취업일로부터 5년이 되는 날이 속하는 달의 말일까지 발생한 소득에 대한 소득세의 90퍼센트 감면
  중소기업 취업자 소득세 감면 대상 명세서
- 고령자, 장애인, 국가유공자, 경력단절 여성 등: 취업일로부터 3년이 되는 날이 속하는 달의 말일까지 발생한 소득에 대한 소득세의 일정율 감면
- 이전 최대 3년 근로소득세를 감면받고 있던 근로자는 최신 양식으로 신청하게 되면 새로운 기준으로 혜택 적용",https://www.youthcenter.go.kr/youngPlcyUnif/youngPlcyUnifList.do
8,청년 디지털 일자리 사업,IT 활용가능 직무에 청년을 채용한 중소 중견기업에 6개월간 인건비(월 최대 180만원 및 간접 노무비 10만원)를 지원,지급받은 임금수준에 비례하여 인건비 지급(최대 180만원)하고 간접노무비를 추가 지원,https://www.youthcenter.go.kr/youngPlcyUnif/youngPlcyUnifList.do
9,청년재직자 내일채움공제,"정부, 중소(중견)기업 사업주, 청년근로자(만15세 이상 34세 이하, 6개월 이상 재직 중인 정규직 근로자)이 공동으로 적립한 공제금을 가입기간(5년)에 따라 장기재직한 청년근로자에게 성과보상금 형태로 지급하는 공제","(1)청년: 5년 간 720만원 적립(최소 월 12만원x60개월)*납입방식: 사전에 설정한 청년근로자 명의 시중은행 계좌에서 매월 정해진 날짜(5일, 15일, 25일 중 청년근로자 본인이 선택)에 자동이체(2)기업: 5년 간 1,200만원 적립(최소 월 20만원x60개월) *세제혜택: (청년)기업납입분에 대한 근로소득세 감면(50퍼센트), (기업)기업납입분은 전액 손금산입 및 세액공제(25퍼센트) *중견기업은 세액공제 불가 *(납입방식) : 사전에 설정한 중소기업 명의 시중은행 계좌에서 매월 정해진 날짜(5일, 15일, 25일 중 중소기업이 선택)에 자동이체(3)정부: 3년 간 1,080만원 적립(3년 간 7회 분할적립) *(적립방식)3년 간 총 7회(1, 6, 12, 18, 24, 30. 36개월)에 걸쳐 성과보상기금에 적립",https://www.youthcenter.go.kr/youngPlcyUnif/youngPlcyUnifList.do
10,청년취업 드림카드,"높은 청년 실업률, 저임금, 비정규직 등의 악화된 고용환경 속에서 어려움을 겪고 있는 청년 미취업자에게 구직을 위한 직, 간접적 활동비 지원","구직활동과 관련된 직,간접 비용 지원(월 30만원 x 6개월, 최대 180만원)",https://www.youthcenter.go.kr/youngPlcyUnif/youngPlcyUnifList.do
11,청년 3·6·9 일자리지원 프로젝트 (지역주도형 청년일자리사업),"청년에게 관내 중소기업 일자리 제공 및 취업유지지원금, 문화·복지 등의 다양한 지원을 통하여 관내 기업 정착을 유도하고 조기퇴사 및 이직을 방지하여 일자리 미스매치 해소에 기여","기업체
-청년 신규 채용에 따른 인건비 월 160만원 지원
청년
- 중소기업 일자리 제공(월 급여 200만원 이상, 참여기업별 경력 유무, 자격요건 등에 따라 월급여 상이)
- 직무교육 및 컨설팅 제공
- 취업유지지원금(연간 180만원), 문화복지바우처(연간 20만원) 지급
- 취업유지 지원금
입사1년차 : 3, 6, 9개월 만근시 30, 60, 90만원 지급
입차2년차 : 반기별 90만원씩 지급",https://www.youthcenter.go.kr/youngPlcyUnif/youngPlcyUnifList.do
12,청년 맞춤형 지원사업,청년들과 지속적으로 만나 상담하면서 다양한 어려움을 함께 고민하며 1:1 맞춤형 프로그램을 제공,"1. 개인별 맞춤형 프로그램 지원을 위한 심층상담 및 지속적인 생활형 밀착 상담2. 개인별 진로 목표 및 취업방향을 반영한 맞춤형 프로그램3. 심리상담 및 제작소 특화프로그램, 교육훈련 지원4. 삶의 질 향상지원(식비지원, 종합건강검진지원 등)5. 사회진입지원(취업 및 청년지원사업 정보 공유)6. 청년전용공간",https://www.youthcenter.go.kr/youngPlcyUnif/youngPlcyUnifList.do
13,서울형 뉴딜 일자리,"청년을 비롯한 참여자들에게 일경험과 취업에 필요한 다양한 교육,서비스를 동시에 제공해 사업 참여 후 민간일자리로의 취업을 돕는 공공 일자리 사업 정책","- 월 최대 임금 235만원 지급( 서울형 생활임금 시급 : 10,702원)
- 최대 23개월간 안정적으로 근무가능(풀타임/파트타임 선택가능)
- 일하는 동안 관련 경력을 쌓아 민간일자리 취업(2019년 참여자 취업률 52.9%)
- 최대 130시간 취업교육,  자격증 응시비용 지원",https://www.youthcenter.go.kr/youngPlcyUnif/youngPlcyUnifList.do
14,청년애꿈수당,구직 및 취업 청년의 구직활동 장려 및 장기재직 유도,"면접수당(면접 1회당 5만원씩 최대 6회 중복지원 가능), 취업성공 수당(중소기업 취업 시 1인당 1회에 한해 50만원 지원, 근속장려 수당(중소기업에 1년 이상, 2년 미만 재직 청년에게 월 10만원 1년간 지원)
취업성공수당(500천원 (1인당 1회 한정))
근속장려수당(1,200천원 (월100천원, 최대12개월), 1인 1회 한정)",https://www.youthcenter.go.kr/youngPlcyUnif/youngPlcyUnifList.do
