description_word,total_cnt,money,interview,edu,job,consult,cnt_money,cnt_interview,cnt_edu,cnt_job,cnt_consult
인천관광기업지원센터,1.0,0,0,0,0,1,0.0,0.0,0.0,0.0,1.0
단위기간,3.0,1,0,1,0,0,3.0,0.0,3.0,0.0,0.0
룩셈부르크,1.0,1,0,0,0,0,1.0,0.0,0.0,0.0,0.0
청장년층,1.0,0,0,1,0,1,0.0,0.0,1.0,0.0,1.0
발걸음,1.0,0,1,0,0,1,0.0,1.0,0.0,0.0,1.0
부서,2.0,0,0,1,1,0,0.0,0.0,1.0,2.0,0.0
함안군,1.0,1,0,0,0,0,1.0,0.0,0.0,0.0,0.0
창작준비지원,1.0,1,0,0,0,0,1.0,0.0,0.0,0.0,0.0
공연,3.0,1,0,0,1,0,2.0,0.0,0.0,1.0,0.0
사회보험료,2.0,1,0,0,1,0,2.0,0.0,0.0,2.0,0.0
자활,2.0,1,0,1,0,0,2.0,0.0,1.0,0.0,0.0
해외농업기술개발사업,1.0,1,0,1,0,0,1.0,0.0,1.0,0.0,0.0
출하량,1.0,1,0,0,1,0,1.0,0.0,0.0,1.0,0.0
청년문제해결형,1.0,1,0,0,0,1,1.0,0.0,0.0,0.0,1.0
청정에너지,2.0,0,0,1,0,0,0.0,0.0,2.0,0.0,0.0
국가기술자격,2.0,1,0,1,0,0,2.0,0.0,2.0,0.0,0.0
대구,1.0,0,0,1,1,0,0.0,0.0,1.0,1.0,0.0
복지부,2.0,0,0,0,0,1,0.0,0.0,0.0,0.0,2.0
취약청소년,1.0,0,0,1,0,0,0.0,0.0,1.0,0.0,0.0
산업수요,1.0,0,0,1,1,0,0.0,0.0,1.0,1.0,0.0
청년고용친화적,1.0,1,0,1,0,0,1.0,0.0,1.0,0.0,0.0
활용자료,1.0,0,0,1,0,1,0.0,0.0,1.0,0.0,1.0
유능,3.0,1,0,0,1,0,3.0,0.0,0.0,1.0,0.0
반납,1.0,0,1,0,0,0,0.0,1.0,0.0,0.0,0.0
영종일자리프로젝트,2.0,0,1,0,1,0,0.0,2.0,0.0,2.0,0.0
대학진학,2.0,1,0,1,0,0,2.0,0.0,1.0,0.0,0.0
양성프로그램,1.0,0,0,1,0,1,0.0,0.0,1.0,0.0,1.0
화성시,1.0,0,0,1,0,1,0.0,0.0,1.0,0.0,1.0
준비비,1.0,1,0,1,0,0,1.0,0.0,1.0,0.0,0.0
대구형,1.0,1,0,0,1,0,1.0,0.0,0.0,1.0,0.0
지도지원,1.0,0,0,1,1,0,0.0,0.0,1.0,1.0,0.0
청년쉼표,2.0,1,0,0,0,1,2.0,0.0,0.0,0.0,2.0
등록가능,1.0,0,0,1,0,1,0.0,0.0,1.0,0.0,1.0
해외취업준비금,1.0,1,0,0,0,0,1.0,0.0,0.0,0.0,0.0
업무영역,1.0,0,0,1,1,0,0.0,0.0,1.0,1.0,0.0
카톡,1.0,0,0,1,0,1,0.0,0.0,1.0,0.0,1.0
대출금리,1.0,1,0,0,1,0,1.0,0.0,0.0,1.0,0.0
카자흐스탄,2.0,1,0,1,0,0,2.0,0.0,2.0,0.0,0.0
경력설계,4.0,0,0,0,0,1,0.0,0.0,0.0,0.0,4.0
청년문제,1.0,1,0,0,0,1,1.0,0.0,0.0,0.0,1.0
관계형성,1.0,0,0,0,0,1,0.0,0.0,0.0,0.0,1.0
취업계획,1.0,0,1,0,0,1,0.0,1.0,0.0,0.0,1.0
상생일자리사업,1.0,1,0,0,0,0,1.0,0.0,0.0,0.0,0.0
테크노파크,1.0,0,0,1,0,1,0.0,0.0,1.0,0.0,1.0
취업연계형,1.0,0,0,1,1,0,0.0,0.0,1.0,1.0,0.0
공고문,2.0,1,0,0,1,0,2.0,0.0,0.0,2.0,0.0
고급트랙,1.0,0,0,1,1,0,0.0,0.0,1.0,1.0,0.0
청년인턴지원,1.0,1,0,0,1,0,1.0,0.0,0.0,1.0,0.0
충북청년희망센터,1.0,0,0,1,0,0,0.0,0.0,1.0,0.0,0.0
국내급여,1.0,1,0,0,0,0,1.0,0.0,0.0,0.0,0.0
산학협력업체,1.0,0,0,1,0,0,0.0,0.0,1.0,0.0,0.0
주거비지원,1.0,1,0,0,1,0,1.0,0.0,0.0,1.0,0.0
원스톱취업,1.0,0,0,1,1,0,0.0,0.0,1.0,1.0,0.0
해당국,1.0,0,0,0,0,1,0.0,0.0,0.0,0.0,1.0
공읍,1.0,1,0,0,1,0,1.0,0.0,0.0,1.0,0.0
고양청년,1.0,0,1,0,0,0,0.0,1.0,0.0,0.0,0.0
인력뱅크,1.0,1,0,0,1,0,1.0,0.0,0.0,1.0,0.0
주휴연차,1.0,1,0,0,1,0,1.0,0.0,0.0,1.0,0.0
현장파견,1.0,0,0,1,0,0,0.0,0.0,1.0,0.0,0.0
증가액,1.0,1,0,0,0,0,1.0,0.0,0.0,0.0,0.0
농부,1.0,0,0,1,0,0,0.0,0.0,1.0,0.0,0.0
현지지원,1.0,1,0,0,0,0,1.0,0.0,0.0,0.0,0.0
출장수당,1.0,1,0,0,0,0,1.0,0.0,0.0,0.0,0.0
전문대졸,1.0,1,0,0,0,0,1.0,0.0,0.0,0.0,0.0
시설투어,2.0,0,0,0,0,1,0.0,0.0,0.0,0.0,2.0
비례,1.0,1,0,0,0,0,1.0,0.0,0.0,0.0,0.0
유명,1.0,0,0,0,0,1,0.0,0.0,0.0,0.0,1.0
귀농귀촌,1.0,1,0,0,1,0,1.0,0.0,0.0,1.0,0.0
핀란드,1.0,1,0,0,0,0,1.0,0.0,0.0,0.0,0.0
청년쉼표교실,1.0,0,0,1,0,0,0.0,0.0,1.0,0.0,0.0
비전수립,1.0,0,0,0,0,1,0.0,0.0,0.0,0.0,1.0
출입국,1.0,1,0,1,0,0,1.0,0.0,1.0,0.0,0.0
신체검사비,2.0,1,0,0,0,0,2.0,0.0,0.0,0.0,0.0
성장그룹,1.0,1,0,0,0,0,1.0,0.0,0.0,0.0,0.0
점심,2.0,0,0,1,0,1,0.0,0.0,2.0,0.0,2.0
선진,2.0,1,0,1,0,0,1.0,0.0,2.0,0.0,0.0
보육서비스,1.0,0,0,1,0,0,0.0,0.0,1.0,0.0,0.0
전입,8.0,1,0,0,1,0,8.0,0.0,0.0,7.0,0.0
지원사항,3.0,1,0,1,0,0,3.0,0.0,3.0,0.0,0.0
해당지역,1.0,0,0,1,0,1,0.0,0.0,1.0,0.0,1.0
다수,2.0,0,0,1,0,1,0.0,0.0,1.0,0.0,2.0
여행자,2.0,1,0,1,0,0,2.0,0.0,2.0,0.0,0.0
